Currency;CurrencyCd;ReportDate;Valuation
United Kingdom Pound;gbp;09MAR2016;12.01937
Euro;eur;05JUL2015;9.38510
US Dollar;usd;07APR2014;6.54170
Australian Dollar;aud;01OCT2018;6.43549
Norwegian Kroner;nok;02OCT2008;1.17406
Norwegian Kroner;nok;08AUG2009;1.17770
Australian Dollar;aud;05JAN2009;5.58704
Australian Dollar;aud;05MAR2015;6.49662
Danish Krone;dkk;05MAR2020;1.42985
United Kingdom Pound;gbp;05SEP2015;12.87851
Norwegian Kroner;nok;04DEC2015;0.99615
Danish Krone;dkk;10DEC2015;1.24408
Euro;eur;09APR2017;9.62080
Euro;eur;09JUL2014;9.25438
Norwegian Kroner;nok;08MAY2008;1.18121
United Kingdom Pound;gbp;09MAR2012;10.66100
US Dollar;usd;06JUL2011;6.35850
Australian Dollar;aud;03JUN2010;6.60176
US Dollar;usd;06JUL2007;6.71780
Danish Krone;dkk;05JUL2010;1.29268
United Kingdom Pound;gbp;04JUN2009;12.40370
United Kingdom Pound;gbp;08DEC2016;11.53705
Australian Dollar;aud;01JUL2007;5.81715
Danish Krone;dkk;07AUG2015;1.28590
Norwegian Kroner;nok;10JAN2015;1.04811
Australian Dollar;aud;03AUG2020;6.59509
Australian Dollar;aud;04JUL2019;6.55392
Euro;eur;04JUN2006;9.23671
Norwegian Kroner;nok;07AUG2015;1.06041
Euro;eur;01MAY2010;9.62464
Australian Dollar;aud;03SEP2017;6.36132
US Dollar;usd;04OCT2018;9.03665
Norwegian Kroner;nok;04MAR2012;1.19022
Australian Dollar;aud;05APR2016;6.13147
Danish Krone;dkk;10MAY2015;1.24100
United Kingdom Pound;gbp;06JUN2008;11.71800
Euro;eur;06FEB2020;10.67285
United Kingdom Pound;gbp;01APR2010;10.97800
United Kingdom Pound;gbp;02DEC2007;13.07840
United Kingdom Pound;gbp;09MAY2015;12.70838
Danish Krone;dkk;02OCT2009;1.37788
US Dollar;usd;09JUN2010;7.99815
Euro;eur;07OCT2019;10.67285
US Dollar;usd;01FEB2014;6.53555
Norwegian Kroner;nok;10JUL2014;1.09901
US Dollar;usd;01FEB2008;6.37470
Australian Dollar;aud;07MAR2015;6.54208
Australian Dollar;aud;06MAR2015;6.54208
Danish Krone;dkk;07SEP2009;1.37400
Danish Krone;dkk;10APR2007;1.24313
Euro;eur;01NOV2014;9.26530
United Kingdom Pound;gbp;09JAN2013;10.51270
Danish Krone;dkk;06SEP2010;1.24931
US Dollar;usd;03SEP2019;9.88280
US Dollar;usd;03FEB2011;6.48745
Norwegian Kroner;nok;07FEB2014;1.04610
United Kingdom Pound;gbp;06OCT2014;11.57550
Australian Dollar;aud;03MAR2007;5.52892
US Dollar;usd;07AUG2006;7.14000
Euro;eur;07JUL2017;9.61454
United Kingdom Pound;gbp;07MAY2008;11.81070
Danish Krone;dkk;01AUG2009;1.38432
Norwegian Kroner;nok;03JUN2018;1.08031
Norwegian Kroner;nok;10OCT2015;1.00956
US Dollar;usd;04OCT2020;9.73445
Danish Krone;dkk;02JUN2020;1.42985
Euro;eur;08MAY2019;10.74231
United Kingdom Pound;gbp;09MAR2020;12.03519
Australian Dollar;aud;10NOV2006;5.42775
Norwegian Kroner;nok;06FEB2020;1.07457
Australian Dollar;aud;02SEP2017;6.36132
Norwegian Kroner;nok;04JUN2012;1.18098
Norwegian Kroner;nok;08NOV2009;1.22843
Australian Dollar;aud;03JUL2019;6.54334
Australian Dollar;aud;06MAR2019;6.53530
Euro;eur;07OCT2014;9.07551
US Dollar;usd;03NOV2012;6.69225
United Kingdom Pound;gbp;10AUG2017;10.59954
Euro;eur;06DEC2012;8.60501
Norwegian Kroner;nok;04MAR2013;1.12494
United Kingdom Pound;gbp;05JUL2008;11.87110
Australian Dollar;aud;03APR2012;6.84128
United Kingdom Pound;gbp;01JUN2017;11.20108
Norwegian Kroner;nok;02OCT2006;1.11707
Euro;eur;10AUG2008;9.40206
Euro;eur;10DEC2011;9.01889
Australian Dollar;aud;03MAY2013;6.68577
Euro;eur;09JUL2009;10.99780
United Kingdom Pound;gbp;07JUL2011;10.12310
Euro;eur;05JUL2020;10.67285
US Dollar;usd;04MAY2007;6.74620
United Kingdom Pound;gbp;10JUN2018;11.67703
Norwegian Kroner;nok;05DEC2009;1.22444
Australian Dollar;aud;02OCT2014;6.31963
Euro;eur;07APR2020;10.67285
Australian Dollar;aud;04MAR2011;6.40614
Danish Krone;dkk;04JAN2020;1.42985
United Kingdom Pound;gbp;05FEB2017;10.93639
Euro;eur;03JAN2009;10.86010
Danish Krone;dkk;08MAY2018;1.40228
US Dollar;usd;07JUN2013;6.57975
Australian Dollar;aud;07JAN2009;5.58258
Euro;eur;04MAR2019;10.54703
Australian Dollar;aud;04APR2008;5.49090
Euro;eur;06JUN2008;9.32555
Australian Dollar;aud;07JAN2013;6.84096
Norwegian Kroner;nok;08AUG2007;1.15988
Australian Dollar;aud;02MAY2009;5.88382
Euro;eur;03JAN2019;10.26413
United Kingdom Pound;gbp;09JUL2018;11.64738
Danish Krone;dkk;01MAR2011;1.16871
Australian Dollar;aud;03JUL2011;6.74451
Norwegian Kroner;nok;03MAR2018;1.05702
Norwegian Kroner;nok;07MAY2015;1.10808
Norwegian Kroner;nok;10APR2017;1.04937
US Dollar;usd;10SEP2010;7.24615
United Kingdom Pound;gbp;07NOV2017;11.05735
Euro;eur;08DEC2009;10.50630
Norwegian Kroner;nok;07FEB2013;1.16256
Norwegian Kroner;nok;07MAY2013;1.11623
Euro;eur;05AUG2006;9.20854
United Kingdom Pound;gbp;04MAR2017;11.04624
US Dollar;usd;08JUL2008;6.01210
Australian Dollar;aud;05MAY2013;6.68577
US Dollar;usd;02MAR2007;7.06120
Euro;eur;07APR2010;9.68632
Danish Krone;dkk;07FEB2009;1.41037
United Kingdom Pound;gbp;08OCT2013;10.32200
Norwegian Kroner;nok;07AUG2013;1.10344
Danish Krone;dkk;10JUL2017;1.29452
Euro;eur;04JUN2016;9.24950
Australian Dollar;aud;04JAN2009;5.46817
Euro;eur;09OCT2006;9.28021
Australian Dollar;aud;02OCT2018;6.46986
US Dollar;usd;04MAY2009;7.94350
Norwegian Kroner;nok;03JUN2019;1.08699
Euro;eur;07FEB2009;10.51240
Australian Dollar;aud;01DEC2016;6.82716
Euro;eur;06SEP2020;10.67285
United Kingdom Pound;gbp;07SEP2010;11.17870
Australian Dollar;aud;02JUN2010;6.53381
Norwegian Kroner;nok;01APR2008;1.16053
Danish Krone;dkk;08JUN2012;1.20531
Australian Dollar;aud;02FEB2006;5.79083
Euro;eur;06MAR2006;9.45728
Euro;eur;01AUG2017;9.55605
Euro;eur;08FEB2012;8.82210
Danish Krone;dkk;05OCT2020;1.42985
Danish Krone;dkk;09JUL2019;1.42403
Euro;eur;06SEP2015;9.41600
United Kingdom Pound;gbp;10FEB2008;12.63100
Australian Dollar;aud;02SEP2013;5.93150
Australian Dollar;aud;02JUN2006;5.36435
Norwegian Kroner;nok;03DEC2019;1.07457
Australian Dollar;aud;07FEB2014;5.81448
Australian Dollar;aud;07FEB2018;6.28673
Danish Krone;dkk;04FEB2013;1.14626
Euro;eur;09JAN2010;10.21780
Euro;eur;05JAN2016;9.22497
US Dollar;usd;07JUN2009;7.77335
Norwegian Kroner;nok;04DEC2014;1.06138
United Kingdom Pound;gbp;04JAN2014;10.67200
US Dollar;usd;03JUN2007;6.95010
Euro;eur;04MAR2009;11.48090
Euro;eur;03AUG2014;9.21419
US Dollar;usd;07APR2012;6.73070
US Dollar;usd;08MAR2018;8.25650
Euro;eur;07JAN2008;9.37205
US Dollar;usd;03FEB2013;6.31500
Danish Krone;dkk;08JUL2006;1.22627
Norwegian Kroner;nok;07NOV2015;1.00689
