Currency;CurrencyCd;ReportDate;Valuation
Norwegian Kroner;nok;08AUG2012;1.13347
Australian Dollar;aud;02MAR2019;6.56314
Australian Dollar;aud;06NOV2006;5.54752
United Kingdom Pound;gbp;02FEB2016;12.33560
Danish Krone;dkk;07AUG2014;1.23584
Danish Krone;dkk;03OCT2007;1.23386
United Kingdom Pound;gbp;08SEP2007;13.75450
Danish Krone;dkk;01JUN2006;1.24092
Australian Dollar;aud;10SEP2012;6.85737
US Dollar;usd;09JAN2009;7.91185
United Kingdom Pound;gbp;07DEC2006;13.34350
United Kingdom Pound;gbp;02JUN2014;11.19560
Danish Krone;dkk;05OCT2019;1.42985
Euro;eur;10JAN2008;9.38527
Euro;eur;10JUL2017;9.62559
Norwegian Kroner;nok;08FEB2013;1.16167
Norwegian Kroner;nok;07MAY2020;1.07457
Danish Krone;dkk;01DEC2012;1.15997
United Kingdom Pound;gbp;02APR2007;13.85920
Danish Krone;dkk;10DEC2014;1.25637
Australian Dollar;aud;02JAN2017;6.55765
Danish Krone;dkk;05MAR2019;1.41364
Euro;eur;01JUL2011;9.10221
Danish Krone;dkk;04JAN2018;1.32020
US Dollar;usd;08SEP2017;7.93600
United Kingdom Pound;gbp;01SEP2013;10.26000
Danish Krone;dkk;09FEB2020;1.42985
United Kingdom Pound;gbp;05MAR2006;13.81130
US Dollar;usd;07OCT2009;7.01810
Danish Krone;dkk;01FEB2016;1.24538
Danish Krone;dkk;10JUN2008;1.25269
United Kingdom Pound;gbp;03MAR2011;10.29320
Norwegian Kroner;nok;05MAR2011;1.13700
United Kingdom Pound;gbp;07DEC2010;10.81430
Danish Krone;dkk;05JAN2017;1.28220
Norwegian Kroner;nok;06DEC2006;1.11353
Australian Dollar;aud;08NOV2006;5.50505
US Dollar;usd;10JUL2019;9.42765
Australian Dollar;aud;03MAR2015;6.48241
Euro;eur;03APR2006;9.40986
